tweet_id_question,author_id_question,inbound_question,created_at_question,text_question,response_tweet_id_question,in_response_to_tweet_id_question,tweet_id_answer,author_id_answer,inbound_answer,created_at_answer,text_answer,response_tweet_id_answer,in_response_to_tweet_id_answer
59.0,115723,True,Tue Oct 31 19:54:51 +0000 2017,is the worst isp i ve ever had,58,nan,58.0,VerizonSupport,False,Tue Oct 31 19:57:30 +0000 2017,what did we do to make you feel this way and how can we fix things between us? kmg,57,59.0
66.0,115728,True,Tue Oct 31 22:03:38 +0000 2017,i don't fit in my veggie burrito costume,"64,67",nan,64.0,ChipotleTweets,False,Tue Oct 31 22:14:28 +0000 2017,i still think you look great! becky,65,66.0
76.0,115731,True,Tue Oct 31 20:21:10 +0000 2017,when you're the only one in costume,75,nan,75.0,ChipotleTweets,False,Tue Oct 31 20:37:31 +0000 2017,it's because you're smart. tara,74,76.0
163.0,115737,True,Tue Oct 31 19:43:47 +0000 2017,can i dress up as myself and still qualify for a boorito?,162,nan,162.0,ChipotleTweets,False,Tue Oct 31 19:51:00 +0000 2017,give it a try. tara,161,163.0
175.0,115741,True,Tue Oct 31 21:54:13 +0000 2017,considering walking to in my llama onesie alone happy halloween,174,nan,174.0,ChipotleTweets,False,Tue Oct 31 21:56:06 +0000 2017,"you won't be alone we'll be there with you. also, i want that llama onesie. becky",172,175.0
180.0,115743,True,Tue Oct 31 08:17:37 +0000 2017,"so, what's the november ps plus free game?","178,181",nan,178.0,AskPlayStation,False,Tue Oct 31 22:14:49 +0000 2017,there is no info to share at the moment. feel free to keep an eye on the ps blog for news and updates,179,180.0
185.0,115745,True,Tue Oct 31 08:14:24 +0000 2017,i bought lego star wars in the playstation store but it won't let me download it because the data is corrupted..,"184,186",nan,184.0,AskPlayStation,False,Tue Oct 31 22:05:06 +0000 2017,sorry for the inconvenience. do you see the data corrupted message when you try to open the game or download it?,183,185.0
195.0,115749,True,Tue Oct 31 23:40:34 +0000 2017,raw meat!!!! it s does not say unwrapped raw meat!!! sainsbury s don t charge nor do waitrose so y do you?!,199,194.0,199.0,marksandspencer,False,Wed Nov 01 13:42:19 +0000 2017,"as our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. thanks",200,195.0
198.0,115749,True,Tue Oct 31 17:56:34 +0000 2017,y do they charge you for a meat bag at colliers woods branch. if you buy meat you r required to supply customers a free bag. poor service.,194,nan,194.0,marksandspencer,False,Tue Oct 31 21:46:06 +0000 2017,"we're only obligated to provide bags for un packaged meat. as ours is prepackaged, a charge will be applied","195,196,197",198.0
205.0,115751,True,Tue Oct 31 22:04:20 +0000 2017,"hi, having trouble making purchases on xbox one store for fifa points, can you help?","203,206",nan,203.0,MicrosoftHelps,False,Tue Oct 31 22:08:00 +0000 2017,"hello, josh! to get better assistance and support, we suggest that you post a tweet or dm our friends from .",204,205.0
213.0,115755,True,Tue Oct 31 22:05:44 +0000 2017,thanks,211,215.0,211.0,ATVIAssist,False,Tue Oct 31 22:09:50 +0000 2017,"no problem, let us know if you come across any other issues or questions in the future. we are happy to help. rk",212,213.0
216.0,115755,True,Tue Oct 31 19:17:18 +0000 2017,can you still pre oder ww2 on the playstation store,215,nan,215.0,ATVIAssist,False,Tue Oct 31 22:01:51 +0000 2017,yes you can pre order the game on the console store. for more information please contact your console store. rk,213,216.0
225.0,115762,True,Tue Oct 31 21:59:50 +0000 2017,"so, when i go get the game on friday my 2xp code will be on the receipt?",227,224.0,227.0,ATVIAssist,False,Tue Oct 31 22:09:32 +0000 2017,did gamestop give you a code with your pre order down payment that you needed to redeem? ko,228,225.0
228.0,115762,True,Tue Oct 31 22:09:58 +0000 2017,"yes, the beta code",229,227.0,229.0,ATVIAssist,False,Tue Oct 31 22:29:34 +0000 2017,"have you redeemed that on your account? even tho it says beta code, your pre order bonus are linked. ko",230,228.0
226.0,115762,True,Tue Oct 31 20:10:09 +0000 2017,i pre ordered my game at game stop,224,231.0,224.0,ATVIAssist,False,Tue Oct 31 21:57:03 +0000 2017,hey there! you can check out this link for more information in regards to this ko,225,226.0
232.0,115762,True,Tue Oct 31 05:55:34 +0000 2017,for double xp,"233,231",234.0,231.0,ATVIAssist,False,Tue Oct 31 14:41:36 +0000 2017,"hello there, i apologize for the delay. can you clarify where you pre ordered the game? please be sure you keep us updated. rn",226,232.0
237.0,115763,True,Tue Oct 31 21:05:07 +0000 2017,i got all of my stats reset on mwr and i don't know why. please help!!!,235,nan,235.0,ATVIAssist,False,Tue Oct 31 21:53:44 +0000 2017,can you please give me your gamertag platform you're playing on so i can pull up your account information. cb,236,237.0
241.0,115767,True,Wed Nov 01 00:29:55 +0000 2017,"didn't work. tried it on another computer, fresh install, same thing...",243,240.0,243.0,AdobeCare,False,Wed Nov 01 00:53:51 +0000 2017,would you please dm the adobe product amp your purchase details that you have so that we can ask our experts to follow up. raj,244,241.0
242.0,115767,True,Tue Oct 31 22:11:01 +0000 2017,the ctrl alt shift on load method didn't work. 2 2,240,245.0,240.0,AdobeCare,False,Tue Oct 31 22:14:17 +0000 2017,sorry that this isn't more simple... let us know if the steps in the video work out or if you need further help madison,241,242.0
247.0,115767,True,Tue Oct 31 20:54:13 +0000 2017,pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...,"245,248",249.0,245.0,AdobeCare,False,Tue Oct 31 21:09:19 +0000 2017,"hi jason, could you please try resetting the preferences of photoshop amp let us know if it helps with the issue sc","242,246",247.0
250.0,115767,True,Tue Oct 31 20:49:12 +0000 2017,any help here ?,249,nan,249.0,AdobeCare,False,Tue Oct 31 20:52:11 +0000 2017,"hi jason, please let us know if there is anything we can do to help. thanks! aj",247,250.0
252.0,115768,True,Tue Oct 31 22:13:01 +0000 2017,nope still down.,254,251.0,254.0,AdobeCare,False,Tue Oct 31 22:19:30 +0000 2017,have you tried signing out back in or reinstalling the cc desktop app? let us know! madison,255,252.0
255.0,115768,True,Tue Oct 31 22:20:19 +0000 2017,yes ive done that multiple times. its happened on previous versions as well.,256,254.0,256.0,AdobeCare,False,Tue Oct 31 22:24:18 +0000 2017,thanks for confirming. we're looping in an expert who can help you out here. they will reply as soon as they're available. madison,"257,258",255.0
258.0,115768,True,Fri Nov 03 00:39:32 +0000 2017,so..when are they available?,259,256.0,259.0,AdobeCare,False,Fri Nov 03 01:35:31 +0000 2017,sorry for this. let me request the expert to look into this asap as he is in office. raj,260,258.0
260.0,115768,True,Fri Nov 03 05:29:47 +0000 2017,ok. its been very frustrating. i have multiple jobs that i need finished and your application isnt helping.,261,259.0,261.0,AdobeCare,False,Mon Nov 06 16:22:30 +0000 2017,"hi jeffrey, we wanted to check if you had managed to install lightroom classic cc. please let us know if you need further assistance. nr",262,260.0
262.0,115768,True,Mon Nov 06 16:23:56 +0000 2017,no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks,"263,264",261.0,263.0,AdobeCare,False,Mon Nov 06 17:02:22 +0000 2017,jeffrey did you use the process listed in to delete lightroom classic cc? jeff,"265,266",262.0
262.0,115768,True,Mon Nov 06 16:23:56 +0000 2017,no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks,"263,264",261.0,264.0,AdobeCare,False,Mon Nov 06 16:46:26 +0000 2017,"hi there, i am looping our expert team to help answer your question. thanks! mc",268,262.0
253.0,115768,True,Sun Oct 29 21:02:31 +0000 2017,whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating.,251,nan,251.0,AdobeCare,False,Tue Oct 31 22:12:21 +0000 2017,"hi jeffrey, were you able to update to lightroom classic cc? tanuj",252,253.0
271.0,115770,True,Wed Nov 22 09:30:36 +0000 2017,,273,269.0,273.0,AmazonHelp,False,Wed Nov 22 09:40:27 +0000 2017,et,274,271.0
272.0,115770,True,Wed Nov 22 09:14:39 +0000 2017,amazon firetvstick,269,nan,269.0,AmazonHelp,False,Wed Nov 22 09:23:01 +0000 2017,fire tv stick et,"270,271",272.0
288.0,115776,True,Thu Oct 26 18:13:19 +0000 2017,"seems pretty widespread don't mean to be a jerk, but it's frustrating when an update breaks core functionality.",287,289.0,287.0,AdobeCare,False,Thu Oct 26 19:03:22 +0000 2017,"unfortunately, we are not able to reproduce it at our end. i'll still be checking with the development team to find out more on this. om",285,288.0
290.0,115776,True,Thu Oct 26 17:20:44 +0000 2017,so apparently the new version of has this cool feature where you can't export svgs. sick update guys.,289,nan,289.0,AdobeCare,False,Thu Oct 26 18:00:35 +0000 2017,"hi keelin, sorry for the inconvenience. i am able to export svg in ai cc 2018. would you mind sharing your workflow, sample file screenshot?",288,290.0
297.0,115781,True,Thu Nov 02 19:11:14 +0000 2017,"here is an example of an export before and after. export settings are unchanged from default. no, only some files.","299,300",296.0,300.0,AdobeCare,False,Thu Nov 02 19:14:22 +0000 2017,"hi jack, we're looping the expert back into this conversation. thanks! aj",301,297.0
298.0,115781,True,Tue Oct 31 18:07:49 +0000 2017,"indesign 13.0 is exporting all pdfs with blurry links, but links are not missing in indd file. jpg export is not blurry. help!","296,302",nan,296.0,AdobeCare,False,Tue Oct 31 21:46:19 +0000 2017,"hi jake, any screenshots you can share? what are you export settings? is this happening on all files with links? wren",297,298.0
306.0,115782,True,Tue Oct 31 21:43:40 +0000 2017,"quand ton ne ressemble pas celui que tu as r serv , amp qu'en d' tre sale et en sous sol, tu te retrouves 10 dans 1 !",305,nan,305.0,AirbnbHelp,False,Tue Oct 31 21:46:05 +0000 2017,"hi there, we would like to help. please dm us your account's email and reservation code so we can further assist. thank you.",304,306.0
310.0,115785,True,Tue Oct 31 22:14:11 +0000 2017,they have no info either..,312,309.0,312.0,XboxSupport,False,Tue Oct 31 22:52:52 +0000 2017,we'd recommend keeping an eye out on your email that is associated with your account for further info. ja,313,310.0
313.0,115785,True,Wed Nov 01 00:50:56 +0000 2017,lol so there's no one who can say when they're going to be shipped...? that's kinda weird,"314,315",312.0,315.0,XboxSupport,False,Wed Nov 01 01:09:18 +0000 2017,"did you pre order this console via the microsoft store? if so, then let's have you reach out here ja","316,317",313.0
311.0,115785,True,Tue Oct 31 20:04:15 +0000 2017,would like to know so i can make sure i have enough money for it...,309,318.0,309.0,XboxSupport,False,Tue Oct 31 22:13:28 +0000 2017,hi there! we'd recommend reaching out to the chat team here ja,310,311.0
323.0,115791,True,Tue Oct 31 19:39:09 +0000 2017,"the 5 app on xboxes not working error code 200, done a power cycle and still the same? please fix app",321,nan,321.0,XboxSupport,False,Tue Oct 31 22:03:03 +0000 2017,can you show us what is appearing on your screen? rm,322,323.0
333.0,115797,True,Tue Oct 31 23:44:59 +0000 2017,hi! i have dm u my booking and passport picture thanks so much for quick action,335,332.0,335.0,AirAsiaSupport,False,Tue Oct 31 23:57:53 +0000 2017,"hi loreen,correction done! see you on board! cheers! anwar","336,337",333.0
337.0,115797,True,Thu Nov 09 20:15:48 +0000 2017,hi! i would like to know on my itenerary on how the birthday can be seen. i would like to double check if i can key in our birthdays right,338,335.0,338.0,AirAsiaSupport,False,Fri Nov 10 06:43:03 +0000 2017,"hi loreen, you may check the passenger's date of birth via airasia member account under manage booking. thanks sha",339,337.0
339.0,115797,True,Fri Nov 10 18:03:05 +0000 2017,but i cant see it. i only see itenerary.. no birthday,340,338.0,340.0,AirAsiaSupport,False,Sat Nov 11 13:06:21 +0000 2017,as you may check it under manage my booking online or during web check in. date of birth will be shown accordingly. ed,341,339.0
334.0,115797,True,Tue Oct 31 14:31:46 +0000 2017,hi! i have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line.,332,343.0,332.0,AirAsiaSupport,False,Tue Oct 31 22:12:55 +0000 2017,"hi loreen,kindly dm us your booking number and attach guest passport copy, we'll fix it for you, see you there! anwar",333,334.0
347.0,115797,True,Tue Oct 31 01:57:03 +0000 2017,lost my booking chua loreen lee flight z2 129.128 12 22 01 8 taipei manila. email,343,348.0,343.0,AirAsiaSupport,False,Tue Oct 31 05:28:49 +0000 2017,sorry as we checked booking has already expired due to no payment made. kindly please proceed with new booking ed,"344,334,345,346",347.0
364.0,115799,True,Tue Oct 31 21:35:17 +0000 2017,hi yana i don t have any dms from you. did you mean email?,362,366.0,362.0,AirAsiaSupport,False,Tue Oct 31 22:07:28 +0000 2017,"hi emma, could you please follow us so we can dm you again with the email reply sent to you yana",363,364.0
367.0,115799,True,Tue Oct 31 10:46:56 +0000 2017,cas 19708536 cb92n2 crm 0326600 please check on this i haven't heard from my case officer in weeks and provided all docs.,366,nan,366.0,AirAsiaSupport,False,Tue Oct 31 13:38:15 +0000 2017,we have replied to you via dm. check it out yana,364,367.0
377.0,115803,True,Tue Oct 31 22:30:36 +0000 2017,my lips are sealed,379,376.0,379.0,Morrisons,False,Tue Oct 31 22:35:18 +0000 2017,somebody else has told me!! i'm gutted chloe,380,377.0
380.0,115803,True,Tue Oct 31 22:38:55 +0000 2017,"aahhrrgh! keep mum, i m still watching",381,379.0,381.0,Morrisons,False,Tue Oct 31 22:52:17 +0000 2017,"don't you worry carol, my lips are shut!! chloe",382,380.0
378.0,115803,True,Tue Oct 31 21:49:51 +0000 2017,fresh cream palmier bakery bellshill gets my vote for baker just catching up on don t know who won yet,376,nan,376.0,Morrisons,False,Tue Oct 31 22:15:10 +0000 2017,please don't tell me carol!! i can't wait to go home amp find out!! chloe,377,378.0
384.0,115804,True,Tue Oct 31 22:08:05 +0000 2017,"that's pointless as it's every day, all the time. no matter when i go in. i speak 2the management who r as fed up as i am. they've no staff.",386,383.0,386.0,Morrisons,False,Wed Nov 01 14:19:47 +0000 2017,so sorry! could you send me what store this is in so we can get this to the right people? janay,387,384.0
385.0,115804,True,Tue Oct 31 21:28:45 +0000 2017,so fed up of this very familiar sight at houghton regis. get more staff amp stock the place properly. this is just a small example,383,nan,383.0,Morrisons,False,Tue Oct 31 22:05:15 +0000 2017,"hi there, sorry about that. please dm me when you visited the store and i'll look into this. thanks kirsty",384,385.0
395.0,115806,True,Tue Oct 31 21:29:39 +0000 2017,"i'm new to nike run club app, should i start with guided runs or my couch?","394,396",nan,394.0,NikeSupport,False,Tue Oct 31 21:41:33 +0000 2017,while the coach plans can be weeks in time. it's up to you to decide what fits you best. 2 2,393,395.0
398.0,115807,True,Wed Nov 01 05:25:43 +0000 2017,i ve asked your sales rep about the payments and she wasn t ready to listen to any issues that i had.,400,397.0,400.0,AskAmex,False,Wed Nov 01 12:52:18 +0000 2017,"apologies for all of the issues. if you have time to chat securely with me, i would be happy to review. rachel",401,398.0
399.0,115807,True,Tue Oct 31 21:57:56 +0000 2017,amex platinum and amex everyday card.,397,403.0,397.0,AskAmex,False,Tue Oct 31 22:01:04 +0000 2017,what exactly is the issue you are having?,398,399.0
404.0,115807,True,Sun Oct 29 23:07:07 +0000 2017,nope. they weren t ready to listen what i wanted to say and if i had any questions about anything else and hung up on me.,403,405.0,403.0,AskAmex,False,Mon Oct 30 13:34:01 +0000 2017,i am so sorry to hear that. which u.s. based card do you have? pls do not share any personal info.,399,404.0
406.0,115807,True,Sun Oct 29 21:48:00 +0000 2017,thought amex values their customers. but boy you got really bad reps on the customer service.,405,nan,405.0,AskAmex,False,Sun Oct 29 21:57:36 +0000 2017,"hi there, i am so sorry to her that. what exactly is the issue you are having?",404,406.0
611.0,115818,True,Sat Aug 06 01:31:50 +0000 2016,i booked my flight using delta amex card. checking in now amp was being charged for baggage,609,nan,609.0,Delta,False,Sat Aug 06 01:44:03 +0000 2016,"glad to check. pls, dm your confirmation number for assistance. qb",610,611.0
614.0,115819,True,Thu Oct 19 22:56:27 +0000 2017,my grandma's laying thanks to delicious new,612,nan,612.0,McDonalds,False,Fri Oct 20 19:04:47 +0000 2017,don't forget this sunday is bring your grandma to mcdonald's day. see you then!,613,614.0
616.0,115820,True,Tue Oct 31 23:22:08 +0000 2017,"3 different people have given 3 different answers and i still don't have my order. says delivered saturday, was not, i was home all day",618,615.0,618.0,AmazonHelp,False,Tue Oct 31 23:28:00 +0000 2017,we'd like to take a further look into this with you! please reach us by phone or chat here ag,619,616.0
617.0,115820,True,Tue Oct 31 22:16:32 +0000 2017,way to drop the ball on customer service so pissed right now!,615,nan,615.0,AmazonHelp,False,Tue Oct 31 22:29:00 +0000 2017,"i'm sorry we've let you down! without providing any personal information, will you describe the issue? we'd love to help. tn",616,617.0
624.0,115824,True,Tue Oct 31 22:12:37 +0000 2017,"also, beim addams family film in prime sind bild und ton nicht wirklich synchron. wie kommt's?",622,nan,622.0,AmazonHelp,False,Tue Oct 31 22:28:00 +0000 2017,"hi, wir erhalten die filme serien so vom jeweiligen studio. gebe ich aber direkt als feedback dorthin weiter. gru js",623,624.0
628.0,115826,True,Tue Oct 31 21:57:24 +0000 2017,how about you guys figure out my xbox one x project scorpio edition first. no expected delivery or shipping date and it s only a week away,626,630.0,626.0,AmazonHelp,False,Tue Oct 31 22:28:00 +0000 2017,i'm sorry for the wait. you'll receive an email as soon as we have an estimated delivery date. fj,627,628.0
640.0,115834,True,Tue Oct 31 01:03:01 +0000 2017,is the echo show no longer supported?,639,641.0,639.0,AmazonHelp,False,Tue Oct 31 01:09:35 +0000 2017,"the echo show is supported, please reach us for some live troubleshooting at your convenience dw",638,640.0
643.0,115834,True,Mon Oct 30 23:44:45 +0000 2017,"bought an echo show and it won t recognize a single account in our household. wtf, guys?",642,nan,642.0,AmazonHelp,False,Tue Oct 31 00:52:39 +0000 2017,"oh no, i'm sorry for the issues! for troubleshooting, please check out our echo help pages here sg",641,643.0
646.0,115835,True,Tue Oct 31 21:40:30 +0000 2017,. item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. sort it out,644,nan,644.0,AmazonHelp,False,Tue Oct 31 22:25:27 +0000 2017,i'm so sorry you didn't receive your parcel! we'd like a chance to look into this with you here sy,645,646.0
651.0,115838,True,Tue Oct 31 22:25:58 +0000 2017,"i don't want a form to fill out that logs a response no one reads. i want to prevent amzl from touching my stuff. possible, or no?",653,650.0,653.0,AmazonHelp,False,Tue Oct 31 22:52:02 +0000 2017,"is there a current order you're having difficulties with? please let us know, we'd like to help! kl",654,651.0
652.0,115838,True,Tue Oct 31 22:11:15 +0000 2017,is it possible to prevent amzl from delivering my packages moving forward? stuff is either lost stolen broken every time.,650,nan,650.0,AmazonHelp,False,Tue Oct 31 22:24:47 +0000 2017,oh no! we want to hear more about your experience with amzl. please provide your feedback here sh,651,652.0
659.0,115839,True,Tue Oct 31 22:02:14 +0000 2017,", it d be nice if the book i waited 4 months for wasn t damaged inside of an undented box.",658,nan,658.0,AmazonHelp,False,Tue Oct 31 22:11:00 +0000 2017,i'm sorry your book arrived this way! you can find replacement refund options here vs,657,659.0
667.0,115843,True,Tue Oct 31 22:11:10 +0000 2017,anna inspired in idea lab at school to be package being shipped to narnia! amazon can go anywhere according to anna.,665,nan,665.0,AmazonHelp,False,Tue Oct 31 22:19:29 +0000 2017,you're not lion! she even shows witch way is up! that's quite the wardrobe! ac,666,667.0
670.0,115844,True,Tue Oct 31 22:15:42 +0000 2017,they sent the feckin' order to germany! some dozy driver is looking for an address in the wrong country! i'm so done with amazon!,668,671.0,668.0,AmazonHelp,False,Tue Oct 31 22:18:00 +0000 2017,oh my! i'm sorry for the troubles! contact us by phone or chat amp we'll be glad to help! fr,669,670.0
686.0,115849,True,Tue Oct 31 22:06:53 +0000 2017,already contacted 3 4 times in the last month. but all i got was assurance that matter is escalated amp new status will be provided in 1 day!,"684,688",689.0,684.0,AmazonHelp,False,Tue Oct 31 22:17:00 +0000 2017,please share your details here and i'll get back to you. 2 2 hd,685,686.0
690.0,115849,True,Tue Oct 31 21:45:15 +0000 2017,order 3632693 6196346. you couldn't deliver even after a month. you should be ashamed of yourself.,"689,691",nan,689.0,AmazonHelp,False,Tue Oct 31 21:54:32 +0000 2017,please report this to our support team here and we'll look into this. 2 2 hd,686,690.0
698.0,115854,True,Tue Oct 31 22:17:40 +0000 2017,,696,700.0,696.0,AppleSupport,False,Tue Oct 31 22:27:49 +0000 2017,we're here for you. which version of the ios are you running? check from settings gt general gt about.,697,698.0
704.0,115855,True,Tue Oct 31 21:59:17 +0000 2017,this is what it looks like,703,705.0,703.0,AppleSupport,False,Tue Oct 31 22:09:52 +0000 2017,any steps tried since it started last night?,702,704.0
707.0,115855,True,Tue Oct 31 21:48:51 +0000 2017,i have an iphone 7 plus and yes i do,705,708.0,705.0,AppleSupport,False,Tue Oct 31 21:57:00 +0000 2017,that's great it has ios 11.1 as we can rule out being outdated. any steps tried since this started? do you recall when it started?,"706,704",707.0
709.0,115855,True,Tue Oct 31 21:34:45 +0000 2017,i need answers because it s annoying,708,710.0,708.0,AppleSupport,False,Tue Oct 31 21:43:15 +0000 2017,we'd like to look into this with you. which model do you have and is ios 11.1 installed? any steps tried so far?,707,709.0
714.0,115856,True,Tue Oct 31 22:19:32 +0000 2017,"hey and anyone else who upgraded to ios11.1, are y all having issues with capital i in the mail app? as it puts in a ?","712,715",nan,712.0,AppleSupport,False,Tue Oct 31 22:26:29 +0000 2017,"hey, let's work together to figure out what's going on. meet us in dm and we'll continue from there.",713,714.0
719.0,115857,True,Tue Oct 31 22:01:50 +0000 2017,tf is wrong with my keyboard,718,nan,718.0,AppleSupport,False,Tue Oct 31 22:05:00 +0000 2017,"fill us in on what is happening, then we can help out from there.",717,719.0
723.0,115859,True,Tue Oct 31 22:11:16 +0000 2017,hello are all the lines closed for tonight,722,nan,722.0,AppleSupport,False,Tue Oct 31 22:17:30 +0000 2017,what's going on? we're hapy to help if we can.,721,723.0
730.0,115861,True,Tue Oct 31 20:46:35 +0000 2017,"hello, internet. can someone explain why this symbol keeps appearing on my phone and when i try to type the letter i ? also","729,731",nan,729.0,AppleSupport,False,Tue Oct 31 20:55:34 +0000 2017,"you're in the right place we'll do all we can to help. to start, let us know what ios version is installed via dm",728,730.0
736.0,115864,True,Tue Oct 31 22:17:57 +0000 2017,thank you i updated my phone and now it is even slower and barely works. thank you for ruining my phone.,734,nan,734.0,AppleSupport,False,Tue Oct 31 22:22:00 +0000 2017,"we'd like to help, but we'll need more details. what's happening on your device and which model is it? do you have ios 11.1?",735,736.0
739.0,115865,True,Tue Oct 31 22:35:32 +0000 2017,ios 11.0.3,741,738.0,741.0,AppleSupport,False,Tue Oct 31 22:46:26 +0000 2017,"let's check settings gt general gt software update. ios 11.1 was released earlier today. if you see it, please backup amp update.",742,739.0
740.0,115865,True,Tue Oct 31 22:14:45 +0000 2017,iphone 7 plus,738,744.0,738.0,AppleSupport,False,Tue Oct 31 22:21:30 +0000 2017,thanks! which ios version is currently showing in settings gt general gt about?,739,740.0
745.0,115865,True,Tue Oct 31 22:00:34 +0000 2017,i need the software update urgently. the battery lasts literally half a day,744,746.0,744.0,AppleSupport,False,Tue Oct 31 22:06:27 +0000 2017,hi there! what type of device are we working with?,740,745.0
747.0,115865,True,Tue Oct 31 18:08:04 +0000 2017,hola necesito urgente la actualizaci n de software. la bater a me dura literal medio d a,746,nan,746.0,AppleSupport,False,Tue Oct 31 18:17:00 +0000 2017,we offer support via twitter in english. get help in spanish here or join,745,747.0
756.0,115868,True,Tue Oct 31 20:49:07 +0000 2017,my home button doesn t work,755,nan,755.0,AppleSupport,False,Tue Oct 31 20:54:35 +0000 2017,let us help with your home button. did this issue start right after ios 11? which version of ios 11 are you running?,754,756.0
763.0,115870,True,Tue Oct 31 21:56:55 +0000 2017,the app is still there. but no longer able to control it from the lockscreen.,761,764.0,761.0,AppleSupport,False,Tue Oct 31 22:01:31 +0000 2017,"just to confirm, this is only happening with spotify, correct?","760,762",763.0
765.0,115870,True,Tue Oct 31 18:20:46 +0000 2017,after update no spotify on my lock screen?,764,nan,764.0,AppleSupport,False,Tue Oct 31 18:33:00 +0000 2017,thanks for reaching out to us. are you experiencing the missing app after restating your device?,763,765.0
771.0,115872,True,Tue Oct 31 22:12:00 +0000 2017,you need to correct false charges from a trip in lexington ky on saturday. i want my 13 back,768,nan,768.0,Uber_Support,False,Tue Oct 31 22:28:17 +0000 2017,happy to follow up! contact us via so we can connect.,"769,770",771.0
